id,trade_id,category,name,unit,price_min,price_max,price_default,notes,is_extra,is_active
10,1,Doors,Install/Adjust Interior Door (no trim),EA,120.00,220.00,120.00,$120–$220/EA,f,t
11,1,Doors,Interior Door Complete (install + trim),EA,180.00,320.00,180.00,$180–$320/EA (package),f,t
12,1,Doors Ext,Install Exterior Door (standard),EA,450.00,900.00,450.00,$450–$900/EA,f,t
13,1,Doors Ext,Large Door (French/Slider/Double),EA,700.00,1500.00,700.00,"$700–$1,500+/EA",f,t
18,1,Jamb,"2"" Extension – Door/Slider (standard)",EA,90.00,180.00,90.00,$90–$180/EA,f,t
17,1,Jamb,"2"" Extension – Window (standard)",EA,60.00,120.00,60.00,$60–$120/EA,f,t
20,1,Jamb,Full Interior Box – Exterior Door,EA,220.00,380.00,220.00,$220–$380/EA,f,t
19,1,Jamb,Full Interior Box – Window,EA,180.00,300.00,180.00,$180–$300/EA,f,t
32,1,Shiplap,Bigboard / Wood Ceiling,SF,14.00,22.00,14.00,$14–$22/SF,f,t
31,1,Shiplap,Shiplap – Ceiling (interior),SF,14.00,24.00,14.00,$14–$24/SF,f,t
30,1,Shiplap,Shiplap – Wall (interior),SF,10.00,18.00,10.00,$10–$18/SF,f,t
29,1,Stairs,Handrail Bracket (hard wall),EA,40.00,65.00,40.00,$40–$65/EA,f,t
28,1,Stairs,Handrail Bracket (standard),EA,25.00,45.00,25.00,$25–$45/EA,f,t
26,1,Stairs,Handrail – Wood (interior),LF,70.00,120.00,70.00,$70–$120/LF,f,t
27,1,Stairs,Handrail – with Curve/Angle,LF,95.00,160.00,95.00,$95–$160/LF,f,t
22,1,Stairs,Risers,EA,45.00,80.00,45.00,$45–$80/step,f,t
23,1,Stairs,Skirt / Lateral (1 side),EA,65.00,120.00,65.00,$65–$120/step,f,t
24,1,Stairs,Skirt Double (2 sides),EA,120.00,220.00,120.00,$120–$220/step,f,t
25,1,Stairs,Skirt Top Molding,LF,18.00,30.00,18.00,$18–$30/LF,f,t
21,1,Stairs,Treads / Steps,EA,75.00,130.00,75.00,$75–$130/step,f,t
1,1,Trim,Baseboard,LF,6.00,10.00,6.00,$6–$10/LF,f,t
2,1,Trim,Crown Molding,LF,10.00,18.00,10.00,$10–$18/LF,f,t
